capture_id,source_type,service_clock_raw,service_clock_utc,clock_class,http_status,bytes,body_sha256,clark_exact_url,site_published_utc,site_modified_utc,public_locator,evidence_file
cc-2026-25-wayback,independent_crawler_archive,20260608050217,2026-06-08T05:02:17Z,archive_observation_time,200,13274,f0849a91eeef2973f3c059274e66a8eb8a5e6632e24ea28df0bf70006f57d3bc,https://pure.md/web.archive.org/web/20130525012744id_/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf,2026-06-01T15:03:22.012084+00:00,2026-06-01T15:31:10.118407+00:00,https://web.archive.org/web/20260608050217/https://jotspot.io/j/sxt2xy8q,evidence/bodies/wayback-20260608.html
cc-2026-34,independent_crawler_archive,20260817112627,2026-08-17T11:26:27Z,archive_observation_time,200,13274,unretained (payload sha1: 4JQXIKLMXX5VVGXIUMBAZTKQ4YBHRGSF),https://pure.md/web.archive.org/web/20130525012744id_/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf,2026-06-01T15:03:22.012084+00:00,2026-06-01T15:31:10.118407+00:00,https://data.commoncrawl.org/crawl-data/CC-MAIN-2026-34/segments/1786091387263.73/warc/CC-MAIN-20260817095816-20260817125816-00702.warc.gz,evidence/captures.json
canonical-5330f729,retained_canonical_snapshot,None,None,capture_not_event_time,200,13274,ca8ffe8373ea969d553ffc1e2c3031beb3154e3cd07e11bff0b22274ee232dd5,https://pure.md/web.archive.org/web/20130525012744id_/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf,2026-06-01T15:03:22.012084+00:00,2026-06-01T15:31:10.118407+00:00,https://swarmstatus.com/api/record?id=5330f7290d1390e8774a9347ac016411,evidence/captures.json
retained-get-issue-desc,investigation_retained_get,2026-09-05T13:44:39.434809Z,2026-09-05T13:44:39Z,client_http_fetch_time,200,13274,edddd6353c747a5168e1ec5f17779244e133c6e73f85079d338cfbb8798fac82,https://pure.md/web.archive.org/web/20130525012744id_/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf,2026-06-01T15:03:22.012084+00:00,2026-06-01T15:31:10.118407+00:00,issue_46_description,evidence/captures.json
live-20260905,verification_live_get,2026-09-05T22:09:53Z,2026-09-05T22:09:53Z,client_http_fetch_time,200,13274,083a91cc0c35fd4c3de04272bf30e9a06fb1c8d60060b85c41fe689ad1d911b7,https://pure.md/web.archive.org/web/20130525012744id_/www.clarku.edu/departments/economics/pdf/newsletter%202010color.pdf,2026-06-01T15:03:22.012084+00:00,2026-06-01T15:31:10.118407+00:00,https://jotspot.io/j/sxt2xy8q,evidence/bodies/live-20260905.html
